marca,modelo,ano_min,ano_max
CHEVROLET,PICK,1961,1998
FERRARI,MONDIAL,1983,1985
ENGESA,4,1981,1987
PORSCHE,912,1966,1969
BMW,325,1987,1995
FORD,ROADSTER,1929,1937
YAMAHA,TENERE,1991,1991
CHRYSLER,IMPERIAL,1938,1968
HYUNDAI,AZERA,2000,2000
TRIUMPH,TR7,1975,1981
AUDI,QUATTRO,1980,1991
CHEVROLET,SPECIAL DELUXE,1940,1942
GMC,VANDURA,1992,1992
FORD,PINTO,1973,1973
PONTIAC,TRANS AM,1975,1990
PLYMOUTH,FURY,1967,1972
PACKARD,SUPER EIGHT,1940,1940
NASH,AMBASSADOR,1948,1956
MERCEDES-BENZ,SLK,1995,1995
MERCEDES-BENZ,SL,1963,1995
LINCOLN,ZEPHYR,1941,1942
JAGUAR,XK,1948,1960
JAGUAR,XF,,
JAGUAR,XJ,1972,1994
JAGUAR,MKV,1949,1951
JAGUAR,C-TYPE,1951,1953
HUDSON,GREAT EIGHT,1930,1930
FORD,TRANSIT,1984,1984
ALFA ROMEO,GIULIA,1962,1977
FORD,CRESTLINE,1952,1955
FORD,CRISTLINE,1952,1955
CHEVROLET,FLEEASTER,1948,1948
PACKARD,CLIPPER,1953,1953
PLYMOUTH,BELVEDERE,1954,1955
PLYMOUTH,VOYAGER,1983,1995
SUBARU,SAMBAR,1972,1972
CROSLEY,FARM-O-ROAD,1952,1952
DE SOTO,AIRFLOW,1934,1936
DE SOTO,FIREDOME,1952,1959
VOLVO,PV444,1953,1953
CHRYSLER,AIRFLOW,1937,1937
CHRYSLER,NEW YORKER,1951,1992
BENTLEY,R-TYPE,1953,1953
ALFA ROMEO,GTV,1967,1995
AM GENERAL,HUMVEE,1982,1982
PLYMOUTH,SUNDANCE,1985,1990
DODGE,POWER WAGON,1941,1947
OLDSMOBILE,88,1954,1992
OLDSMOBILE,442,1968,1971
BUICK,SPECIAL,1952,1952
DODGE,RAMCHARGER,1983,1983
CHEVROLET,BISCAYNE,1972,1972
BMW,328,1936,1940
BENTLEY,FLYING SPUR,1959,1959
PORSCHE,550,1955,1958
AMC,PACER,1975,1979
CHEVROLET,VAN,1995,1995
CHRYSLER,300,1955,1970
CORD,810,1936,1937
CORD,812,1936,1937
VOLKSWAGEN,EOS,1986,1986
