marca,modelo,geracoes,trims,carrocerias,n_urls,fonte
ABARTH,1000SP,,,,1,classic.com
ABARTH,207A,,,,1,classic.com
ABARTH,208A,,,,1,classic.com
ABARTH,OT 1300,,,,1,classic.com
ABARTH,OT 2000,,,,1,classic.com
ABARTH,SE 018 MILLINO,,,,1,classic.com
AC,10HP,,,,1,classic.com
AC,12HP,,,,1,classic.com
AC,2 LITRE,,,,1,classic.com
AC,3000ME,,,,1,classic.com
AC,378 GT,,,,1,classic.com
AC,ACE,,,,1,classic.com
AC,ACECA,,,,1,classic.com
AC,BROOKLANDS ACE,,,,1,classic.com
AC,FRUA,,,,1,classic.com
AC,GREYHOUND,,,,1,classic.com
AC,PETITE,,,,1,classic.com
AC,SIX,,,,1,classic.com
AC,SOCIABLE,,,,1,classic.com
ACADIAN,BEAUMONT,,,,1,classic.com
ACADIAN,CANSO,,,,1,classic.com
ACADIAN,INVADER,,,,1,classic.com
ACURA,CL,,,,1,classic.com
ACURA,INTEGRA,,FIFTH GENERATION|FIRST GENERATION|GS|GS R|LS|RS|SECOND GENERATION|THIRD GENERATION|TYPE R|TYPE S,,17,classic.com
ACURA,LEGEND,1ST GEN|2ND GEN,,,3,classic.com
ACURA,NSX,1ST GEN|2ND GEN|NA1|NA2,FACELIFT|PRE FACELIFT|TYPE S|ZANARDI,COUPE|TARGA,13,classic.com
ACURA,RL,,,,1,classic.com
ACURA,RSX,,TYPE S,,3,classic.com
ACURA,SLX,,,,1,classic.com
ACURA,TL,,,,1,classic.com
ACURA,VIGOR,,,,1,classic.com
AEC,ALL MODELS,,,,1,classic.com
ALFA ROMEO,145,,,,1,classic.com
ALFA ROMEO,146,,,,1,classic.com
ALFA ROMEO,147,,,,1,classic.com
ALFA ROMEO,155,,,,1,classic.com
ALFA ROMEO,156,,,,1,classic.com
ALFA ROMEO,159,,,,1,classic.com
ALFA ROMEO,164,,BASE|QUADRIFOGLIO 4|QUADRIFOGLIO VERDE,,4,classic.com
ALFA ROMEO,166,,,,1,classic.com
ALFA ROMEO,1900,,REPLICA,BERLINA|CABRIOLET|COUPE,6,classic.com
ALFA ROMEO,1900 M,,,,1,classic.com
ALFA ROMEO,2000,,SPRINT,BERLINA|SPIDER,4,classic.com
ALFA ROMEO,2600,,SPRINT|SZ ZAGATO,BERLINA|SPIDER,6,classic.com
ALFA ROMEO,33,1ST GEN|2ND GEN,,,3,classic.com
ALFA ROMEO,4C,,,COUPE|SPIDER,3,classic.com
ALFA ROMEO,6C,,1500|1750|2300|2300 B|2500|3000|REPLICA,,9,classic.com
ALFA ROMEO,75,,,,1,classic.com
